id,clase,valor,archivo,ubicacion,veredicto_humano,nota
esqu_039,esquina_aguda,7.83 deg,rand_BON82CXETT_specification.json,left_ftorso.3,,
esqu_040,esquina_aguda,14.92 deg,rand_C211LQ42IT_specification.json,pant_l_cuff_skirt_f.2,,
esqu_041,esquina_aguda,13.9 deg,rand_DBFOQOXOL1_specification.json,pant_l_cuff_skirt_b.0,,
esqu_042,esquina_aguda,10.71 deg,rand_DKLDFH2GNX_specification.json,right_ftorso.1,,
esqu_043,esquina_aguda,9.29 deg,rand_DSFACBRTWX_specification.json,pant_l_cuff_skirt_f.0,,
esqu_044,esquina_aguda,9.55 deg,rand_ERB6O9AEQF_specification.json,left_ftorso.9,,
esqu_045,esquina_aguda,8.85 deg,rand_FT7MY6FPZJ_specification.json,sl_right_cuff_skirt_f.0,,
esqu_046,esquina_aguda,11.85 deg,rand_IA6QPJ7RHY_specification.json,skirt_panel_8.0,,
esqu_047,esquina_aguda,11.85 deg,rand_IA6QPJ7RHY_specification.json,skirt_panel_7.0,,
esqu_048,esquina_aguda,13.75 deg,rand_KGQ7W8HHZP_specification.json,sl_right_cuff_skirt_f.0,,
esqu_049,esquina_aguda,14.37 deg,rand_LNR3CXUZBK_specification.json,left_ftorso.4,,
esqu_050,esquina_aguda,11.18 deg,rand_M47SSKWG7T_specification.json,left_btorso.1,,
esqu_051,esquina_aguda,5.63 deg,rand_NRFU803UGF_specification.json,right_btorso.3,,
esqu_052,esquina_aguda,10.71 deg,rand_S0CEA79YG6_specification.json,pant_r_cuff_skirt_b.0,,
esqu_053,esquina_aguda,10.71 deg,rand_S0CEA79YG6_specification.json,pant_l_cuff_skirt_b.0,,
esqu_054,esquina_aguda,6.4 deg,rand_TZCQIGTBOA_specification.json,sl_right_cuff_skirt_f.0,,
esqu_055,esquina_aguda,13.11 deg,rand_UO1QPIU82B_specification.json,left_ftorso.3,,
esqu_056,esquina_aguda,14.2 deg,rand_VSVNPDZU48_specification.json,skirt_panel_4.0,,
esqu_057,esquina_aguda,11.02 deg,rand_WAHTX40OEY_specification.json,skirt_back.0,,
esqu_058,esquina_aguda,10.72 deg,rand_ZDS58IDFQ8_specification.json,right_btorso.6,,
esqu_059,esquina_aguda,12.59 deg,rand_ZVELYCKU23_specification.json,sl_right_cuff_skirt_f.0,,
desa_060,desajuste_no_declarado,0.0707 rel,rand_1HYC1IS9KL_specification.json,costura 17,,
desa_061,desajuste_no_declarado,0.0194 rel,rand_1IUGN6FAZ3_specification.json,costura 44,,
desa_062,desajuste_no_declarado,0.1353 rel,rand_2YQZ16SQM1_specification.json,costura 33,,
desa_063,desajuste_no_declarado,0.0682 rel,rand_5SBAIJBN1Z_specification.json,costura 27,,
desa_064,desajuste_no_declarado,0.0479 rel,rand_6HHP248EDQ_specification.json,costura 30,,
desa_065,desajuste_no_declarado,0.0101 rel,rand_7FZAQG20A5_specification.json,costura 5,,
desa_066,desajuste_no_declarado,0.0326 rel,rand_8BJJ5DLLJR_specification.json,costura 18,,
desa_067,desajuste_no_declarado,0.068 rel,rand_93OEEYP09C_specification.json,costura 29,,
desa_068,desajuste_no_declarado,0.0489 rel,rand_F4Y219IQZR_specification.json,costura 8,,
desa_069,desajuste_no_declarado,0.0698 rel,rand_HD15BLII8V_specification.json,costura 55,,
desa_070,desajuste_no_declarado,0.0524 rel,rand_K7OSU7CILO_specification.json,costura 15,,
desa_071,desajuste_no_declarado,0.0101 rel,rand_O65KWA3LVQ_specification.json,costura 22,,
desa_072,desajuste_no_declarado,0.0178 rel,rand_OGR5A7L3I6_specification.json,costura 5,,
desa_073,desajuste_no_declarado,0.0235 rel,rand_QP4Q8F6NNW_specification.json,costura 45,,
desa_074,desajuste_no_declarado,0.0249 rel,rand_QPCRZX4BMS_specification.json,costura 41,,
desa_075,desajuste_no_declarado,0.1232 rel,rand_S13R0HV038_specification.json,costura 0,,
desa_076,desajuste_no_declarado,0.0707 rel,rand_S6CKG8XSEG_specification.json,costura 20,,
desa_077,desajuste_no_declarado,0.0489 rel,rand_SF2KOUN8I4_specification.json,costura 6,,
desa_078,desajuste_no_declarado,0.0249 rel,rand_SNGDON1NQG_specification.json,costura 14,,
desa_079,desajuste_no_declarado,0.0166 rel,rand_UTB1A24Y27_specification.json,costura 17,,
desa_080,desajuste_no_declarado,0.0682 rel,rand_VI59Z8L4Z0_specification.json,costura 27,,
desa_081,desajuste_no_declarado,0.0682 rel,rand_W4G8RIZ970_specification.json,costura 40,,
desa_082,desajuste_no_declarado,0.0744 rel,rand_WDBL5I2ZCI_specification.json,costura 14,,
desa_083,desajuste_no_declarado,0.0707 rel,rand_WSGN5I19ML_specification.json,costura 19,,
desa_084,desajuste_no_declarado,0.0194 rel,rand_X5IFQNTAGM_specification.json,costura 16,,
desa_085,desajuste_no_declarado,0.129 rel,rand_XO6JSA0J2X_specification.json,costura 47,,
desa_086,desajuste_no_declarado,0.0115 rel,rand_YCH2M770LK_specification.json,costura 7,,
desa_087,desajuste_no_declarado,0.0974 rel,rand_YS2KATC83C_specification.json,costura 25,,
desa_088,desajuste_no_declarado,0.0626 rel,rand_Z7HMB363IC_specification.json,costura 10,,
desa_089,desajuste_no_declarado,0.0694 rel,rand_ZBFDITMDQ3_specification.json,costura 24,,
auto_090,auto_interseccion,6 borde,rand_4ZBU17U56F_specification.json,skirt_front.2,,
auto_091,auto_interseccion,6 borde,rand_4ZBU17U56F_specification.json,skirt_front.3,,
auto_092,auto_interseccion,6 borde,rand_GF6CJS3DUN_specification.json,skirt_front.2,,
auto_093,auto_interseccion,6 borde,rand_GF6CJS3DUN_specification.json,skirt_front.3,,
auto_094,auto_interseccion,6 borde,rand_I3SO4JZBRV_specification.json,skirt_front.3,,
exce_095,excede_ancho_rollo,303.2 cm,rand_MZTHIORI0Q_specification.json,skirt_back_4,,
exce_096,excede_ancho_rollo,303.2 cm,rand_MZTHIORI0Q_specification.json,skirt_front_4,,
exce_097,excede_ancho_rollo,199.3 cm,rand_O3YS0OODHR_specification.json,skirt_front_3,,
exce_098,excede_ancho_rollo,199.3 cm,rand_O3YS0OODHR_specification.json,skirt_back_3,,
exce_099,excede_ancho_rollo,191.1 cm,rand_Z2U0W76QCH_specification.json,skirt_back,,
